date	edition	section	page	length	head	hash	year	month
text592147	2016-01-06	朝刊	２経済	8	1552	大企業、賃上げ前向き　経済３団体など新年祝賀会　【西部】	245b342a3e4e8b88f2990423c1559532	2016	1
text592148	2016-01-06	夕刊	１社会	9	2229	被爆者ら「許せぬ」「なぜ今」　核廃絶に逆行、憤る　北朝鮮「水爆実験」	dda483be0713c1b2c2c442db220805c3	2016	1
text592149	2016-01-06	朝刊	２経済	10	1251	賃上げ、大手前向き　経済３団体など新年祝賀会	06980e96596d6ed9519bd59590e7c3c9	2016	1
text592150	2016-01-06	夕刊	２社会	10	1387	大津市長選、薄まる政党色　１０日告示、共産以外推薦なし　【大阪】	261ec422a94af1229c848b6aa07671ca	2016	1
text592151	2016-01-06	朝刊	２外報	12	468	（特派員メモ　深セン）何のための会見？	465638b1eb258a9075ef670ec073faf4	2016	1
text592152	2016-01-06	朝刊	２外報	12	2534	（世界発２０１６）邦人犠牲、フィリピン銃の闇　海外での殺害、７件集中	495d7ac9c2d2afdd4b34be5b4cacc73a	2016	1
text592153	2016-01-06	朝刊	１外報	13	1781	（世界はうたう：５）イランの流行歌「シャーネ」＠イスラエル　故郷思う声、宿敵国も包む	5291a6dbb7a27dd893a62028fb39ec42	2016	1
text592154	2016-01-06	朝刊	１外報	13	501	バス死者１７人に　放火容疑者拘束　寧夏回族自治区	7bea8eb583438c5c8865c3a3e0f2af74	2016	1
text592155	2016-01-06	朝刊	１外報	13	452	失踪者の１人が英旅券　英外相指摘　香港、国際問題化	07378e1b7195a26d863e659d609d75da	2016	1
text592156	2016-01-06	朝刊	１外報	13	1639	シーア派抗議、飛び火　各国「冷静に」　サウジ・イラン断交	c4720b395fccf46db5e29457f38c5cf9	2016	1
text592157	2016-01-06	朝刊	スポーツ２	14	147	パッキャオ「次戦が最後」　ボクシング　【大阪】	12f0c5df37605f74bc980251ee3b0cca	2016	1
text592158	2016-01-06	朝刊	オピニオン２	16	451	（声）世界に言いたい　新生ミャンマーを支えたい	242996092b27cc4f6d93b2de5761fb95	2016	1
text592159	2016-01-06	朝刊	オピニオン２	16	254	朝日川柳　西木空人選	0dbf6b5bc4e15745ae19bb3a628027bd	2016	1
text592160	2016-01-06	朝刊	オピニオン２	16	981	（社説）ＮＰＯと政治　大切なのは多様さだ	5baf5e48b8ad510fbd95539109b1c6b2	2016	1
text592161	2016-01-06	朝刊	オピニオン１	17	3607	（選べない国で）自由とは何か　平川克美さん、大田弘子さん、蛭子能収さん	11db82376b146291b58178b2c76999fc	2016	1
